parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
gene_symbol,Sprr1b
mouse_strain,C57BL
pvalue,0.1981092
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
analysis_id,5dwr9j14s485747
