parameter_name,Neutrophil cell count
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,AU040320
analysis_id,v1jbpg10y8f8v68
pvalue,0.6865663
parameter_id,IMPC_HEM_030_001
