parameter_name,Hemoglobin
pvalue,0.9655183
gene_accession_id,MGI:1914309
parameter_id,IMPC_HEM_003_001
analysis_id,mi99n40e8i7o8y1
gene_symbol,Ola1
mouse_life_stage,Early adult
mouse_strain,C57BL
