parameter_name,Body Weight
pvalue,0.08251057
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
analysis_id,h4j3wv158p9cwq6
gene_symbol,Nr0b2
parameter_id,M-G-P_012_001_005
mouse_strain,B6J
