analysis_id,bb9i3r7k7ztr2f1
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:1929866
pvalue,0.4252155
mouse_life_stage,Early adult
gene_symbol,Rgs20
