gene_symbol,Cd52
mouse_life_stage,Early adult
analysis_id,5640f675r3vu359
parameter_id,JAXLA_OFD_020_001
gene_accession_id,MGI:1346088
mouse_strain,C57BL
pvalue,0.1904913
parameter_name,Distance travelled - total
