analysis_id,z6744ks5uzjig5t
gene_accession_id,MGI:2446274
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Middle aged adult
pvalue,0.8860724
