mouse_strain,B6J
gene_symbol,Nr0b2
pvalue,0.8183906
parameter_name,Mean platelet volume
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,IMPC_HEM_019_001
analysis_id,sna80l82a17j1e2
