analysis_id,a29237gr15dm004
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_strain,C57BL
gene_symbol,Toporsl
pvalue,0.8633662
gene_accession_id,MGI:1915524
parameter_id,MGP_BMI_014_001
mouse_life_stage,Early adult
