analysis_id,70g4a39p4r5gdq5
gene_symbol,Bpifa3
mouse_life_stage,Early adult
pvalue,0.2913554
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:1920638
mouse_strain,129SV
