analysis_id,78f31wl3562d55g
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
gene_accession_id,MGI:107414
mouse_strain,C58BL
pvalue,0.8616928
gene_symbol,Tnfsf10
