gene_symbol,Trp53rkb
parameter_id,IMPC_CSD_016_001
mouse_strain,C57BL
pvalue,0.5937347
gene_accession_id,MGI:1914050
parameter_name,Coat - hair texture / appearance - abdomen
mouse_life_stage,Early adult
analysis_id,57e8vr8lq3c2n16
