parameter_name,Cornea
pvalue,0.8269864
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
analysis_id,7mbwdh1pe6660tb
gene_symbol,Stk35
mouse_strain,C57BL
