parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1276578
pvalue,0.8099342
analysis_id,0q78vxg991569k3
mouse_life_stage,Early adult
gene_symbol,Gfi1b
