gene_symbol,Snrpb2
mouse_strain,C57BL
pvalue,0.640124
analysis_id,g660m018sphf287
parameter_id,ESLIM_007_001_015
parameter_name,Number of centre entries
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
