analysis_id,ubmp4hacb389kn6
mouse_strain,C57BL
pvalue,0.2604643
gene_symbol,Golm2
parameter_name,110dB startle magnitude
gene_accession_id,MGI:2443129
parameter_id,ESLIM_011_001_006
mouse_life_stage,Early adult
