gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
mouse_strain,C57BL
parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.3868021
mouse_life_stage,Early adult
analysis_id,2j5i7oaft1w7kup
