gene_symbol,Il1r1
pvalue,0.8488503
parameter_name,Total holepokes
analysis_id,3g2n717v569s34q
mouse_strain,C57BL
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:96545
mouse_life_stage,Early adult
