analysis_id,yov4n196a877t6f
parameter_name,Creatinine
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:107566
pvalue,0.2478593
gene_symbol,Kifap3
mouse_life_stage,Early adult
mouse_strain,C57BL
