analysis_id,0f8c148svq51z17
gene_accession_id,MGI:1328306
gene_symbol,Orc2
mouse_life_stage,E9.5
pvalue,0.2181532
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
mouse_strain,C57BL
