parameter_name,Magnesium
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
parameter_id,M-G-P_025_001_030
mouse_strain,C57BL
analysis_id,0h6pe83p4y36z0a
pvalue,0.5359886
gene_symbol,Clvs1
