analysis_id,0567s8h3718gug8
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5453354
gene_symbol,Ahctf1
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1915033
parameter_name,Glucose response AUC
