gene_symbol,Pld1
mouse_life_stage,Early adult
pvalue,0.6159757
mouse_strain,C57BL
parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
analysis_id,pv05p5zm0w177lr
gene_accession_id,MGI:109585
