gene_symbol,Zfp683
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:3650254
analysis_id,ccu4yk2r33k9935
pvalue,0.5449117
mouse_life_stage,Early adult
parameter_name,Placenta Morphology
mouse_strain,C57BL
