analysis_id,f69uh38d89d989f
parameter_name,Skull shape
mouse_strain,C57BL
pvalue,0.6888058
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
parameter_id,CCP_XRY_001_001
gene_symbol,Golm2
