gene_symbol,Exd1
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
pvalue,0.7094701
parameter_name,Hindlimbs - shape
analysis_id,97l6ji435f7e35f
mouse_strain,C57BL
