analysis_id,08lq915181x73g0
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,MGP_PBI_015_001
mouse_life_stage,Early adult
pvalue,0.588225
parameter_name,IgD+ mature B cell percentage
