analysis_id,3zc1xo0399wci1a
gene_symbol,Cdin1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
pvalue,0.9738084
gene_accession_id,MGI:3026886
