parameter_name,Percentage center time
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
pvalue,0.1181077
mouse_strain,C57BL
gene_symbol,Pum1
analysis_id,16jai4l2d4p7ap0
parameter_id,IMPC_OFD_022_001
