parameter_name,Platelet count
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
pvalue,0.4332337
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
analysis_id,636955pf36bg53f
mouse_life_stage,Early adult
