parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
analysis_id,6n8x276xhe72p1i
pvalue,0.69194
gene_symbol,Rab13
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1927232
