parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
gene_symbol,Arpc5l
mouse_life_stage,Early adult
analysis_id,12q359e00ycap9j
parameter_name,Startle response
pvalue,0.8154591
gene_accession_id,MGI:1921442
