parameter_name,Pericardium Morphology
gene_symbol,Ddx27
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.1641516
parameter_id,IMPC_GEL_006_001
analysis_id,9o22fghnbo04fb4
gene_accession_id,MGI:2385884
