analysis_id,gf90bt6vczq5527
mouse_strain,C57BL
gene_accession_id,MGI:2442483
parameter_name,Hindlimb digit - size
gene_symbol,Usp37
pvalue,0.9854444
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_047_001
