analysis_id,3t3453vew5v83el
parameter_id,MGP_PBI_011_001
mouse_life_stage,E18.5
gene_symbol,Zyg11b
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
pvalue,0.2252847
gene_accession_id,MGI:2685277
