parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:97838
gene_symbol,Eprs1
analysis_id,8refo877c5wt508
mouse_strain,C57BL
pvalue,0.3083737
mouse_life_stage,E9.5
parameter_name,Heart weight
