gene_symbol,Wars2
mouse_life_stage,E12.5
analysis_id,263046970n943qb
parameter_name,Periphery resting time
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
gene_accession_id,MGI:1917810
pvalue,0.7514504
