analysis_id,85e80b6uh9092c1
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_name,Placenta Morphology
gene_symbol,Nemp2
mouse_life_stage,Early adult
pvalue,0.7763095
