gene_symbol,Tbl1xr1
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:2441730
parameter_name,Average duration
analysis_id,8yh2u3f9hb51q27
pvalue,0.2842244
mouse_strain,C57BL
mouse_life_stage,Early adult
