analysis_id,k2clm370bq842uf
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
gene_accession_id,MGI:2685277
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5337941
gene_symbol,Zyg11b
