parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
pvalue,0.05849309
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
parameter_name,Periphery permanence time
analysis_id,7q314puko1a4135
