parameter_name,Periphery resting time
gene_symbol,Cisd2
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
pvalue,0.6586934
analysis_id,71m1l5337v74ymk
