parameter_name,Response amplitude - S
gene_accession_id,MGI:1919949
gene_symbol,Lime1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,n6tu3xt374390u7
parameter_id,IMPC_ACS_006_001
pvalue,0.9976344
