gene_symbol,Rufy4
parameter_name,NK cell number
analysis_id,y471kzbh9w5pqc5
gene_accession_id,MGI:3588214
parameter_id,MGP_PBI_027_001
pvalue,0.6256176
mouse_life_stage,Early adult
mouse_strain,C57BL
