gene_symbol,Fpgs
analysis_id,7b2n441jrzw1l10
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:95576
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
pvalue,0.4938241
mouse_life_stage,Early adult
mouse_strain,C57BL
