parameter_name,Retina (combined)
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rufy4
pvalue,0.870634
analysis_id,nvnlpaz59u2lwzz
parameter_id,IMPC_EYE_092_001
