analysis_id,65i057wnvo4e916
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
gene_symbol,Dhdds
pvalue,0.1808569
mouse_strain,C57BL
parameter_name,Corneal opacity
