parameter_id,UCDLA_EYE_083_001
pvalue,0.7431285
gene_accession_id,MGI:2446274
parameter_name,Vitreous
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
analysis_id,o0hw39s9146zr0j
