parameter_name,Cornea vascularisation
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
parameter_id,ESLIM_014_001_008
pvalue,0.6394112
analysis_id,0196hqp2d4tgyk9
mouse_life_stage,Early adult
mouse_strain,C57BL
