parameter_name,Skull shape
mouse_strain,C57BL
analysis_id,te020s08485x464
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
pvalue,0.8193719
