parameter_name,Hemorrhage
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
gene_symbol,Ahcy
analysis_id,15zj2a4uy13zhv0
pvalue,0.7525721
parameter_id,IMPC_GEO_009_002
mouse_strain,C57BL
