parameter_name,Tibia length
gene_symbol,Slc2a8
mouse_strain,C57BL
pvalue,0.08004939
analysis_id,sbm93hur6i2069g
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
parameter_id,TCPLA_XRY_033_001
