mouse_strain,129SV
gene_accession_id,MGI:1921802
parameter_name,Eye
pvalue,0.2628412
parameter_id,IMPC_EYE_001_001
mouse_life_stage,Early adult
gene_symbol,Nipal3
analysis_id,r4qf66527q80rq8
