analysis_id,052bop32f9vcz81
gene_symbol,Cntfr
pvalue,0.4378558
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:99605
