analysis_id,2fg0st47rz21f9f
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
pvalue,0.3088376
parameter_name,Zygomatic bone
