analysis_id,0ta2h79m8yv4zj9
parameter_name,Dark side time spent
gene_accession_id,MGI:1916043
parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
gene_symbol,Rab3gap2
pvalue,0.7033762
mouse_life_stage,Early adult
