parameter_name,HR
parameter_id,IMPC_ECG_002_001
mouse_strain,C57BL
analysis_id,l5wg41phv80f9x9
gene_symbol,Fgb
pvalue,0.5854469
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
