parameter_id,HMGULA_HEM_001_001
pvalue,0.4980609
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_strain,C57BL
parameter_name,White blood cell count
analysis_id,a616fikfzjwt100
mouse_life_stage,Early adult
