analysis_id,n8031k7fhnk75et
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
gene_symbol,Dmap1
pvalue,0.1595065
parameter_name,Urea (Blood Urea Nitrogen - BUN)
mouse_strain,C57BL
