analysis_id,ot7b5a69599b8ev
gene_accession_id,MGI:107566
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
gene_symbol,Kifap3
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
pvalue,0.9673005
