analysis_id,94u95074r586m0t
mouse_life_stage,Early adult
parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
pvalue,0.1194278
mouse_strain,C57BL
