parameter_name,18kHz-evoked ABR Threshold
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Frmpd1
analysis_id,2r37z7638ba2kzd
gene_accession_id,MGI:2446274
pvalue,0.8262238
parameter_id,IMPC_ABR_008_001
