gene_symbol,Rnf114
analysis_id,323t45440po2523
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
parameter_name,Limb grasping
mouse_strain,C57BL
pvalue,1.387164
gene_accession_id,MGI:1933159
