gene_symbol,Rgs20
pvalue,0.5066387
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_067_001
mouse_life_stage,Early adult
analysis_id,a4yqnnj33j191nj
gene_accession_id,MGI:1929866
mouse_strain,C57BL
